Update 0: {'0': 0, '1': 0, '2': 0}
Update 73: {'0': -6.203228119398643, '1': -8.711620510297562, '2': -10.618558220107335}
Update 74: {'0': -6.222350020359363, '1': -8.73074241125828, '2': -10.637680121068055}
Update 75: {'0': -6.240707045281653, '1': -8.749099436180572, '2': -10.656037145990345}
Update 76: {'0': -6.258329789207053, '1': -8.76672218010597, '2': -10.673659889915744}
Update 77: {'0': -6.275247623375435, '1': -8.783640014274354, '2': -10.690577724084125}
Update 78: {'0': -6.291488744177084, '1': -8.799881135076001, '2': -10.706818844885774}
Update 79: {'0': -6.307080220146665, '1': -8.815472611045582, '2': -10.722410320855357}
Update 80: {'0': -6.322048037077462, '1': -8.83044042797638, '2': -10.737378137786154}
Update 81: {'0': -6.3364171413310295, '1': -8.844809532229949, '2': -10.75174724203972}
Update 82: {'0': -6.350211481414455, '1': -8.858603872313372, '2': -10.765541582123145}
Update 83: {'0': -6.363454047894541, '1': -8.871846438793458, '2': -10.778784148603233}
Update 84: {'0': -6.376166911715424, '1': -8.884559302614342, '2': -10.791497012424115}
Update 85: {'0': -6.388371260983472, '1': -8.89676365188239, '2': -10.803701361692163}
Update 86: {'0': -6.400087436280797, '1': -8.908479827179717, '2': -10.81541753698949}
Update 87: {'0': -6.411334964566231, '1': -8.919727355465149, '2': -10.826665065274923}
Update 88: {'0': -6.422132591720247, '1': -8.930524982619165, '2': -10.83746269242894}
Update 89: {'0': -6.432498313788102, '1': -8.940890704687021, '2': -10.847828414496794}
Update 90: {'0': -6.442449406973244, '1': -8.950841797872162, '2': -10.857779507681936}
Update 91: {'0': -6.452002456430979, '1': -8.960394847329898, '2': -10.86733255713967}
Update 92: {'0': -6.461173383910406, '1': -8.969565774809324, '2': -10.876503484619096}
Update 93: {'0': -6.469977474290655, '1': -8.978369865189574, '2': -10.885307574999345}
Update 94: {'0': -6.4784294010556955, '1': -8.986821791954611, '2': -10.893759501764386}
Update 95: {'0': -6.486543250750131, '1': -8.99493564164905, '2': -10.901873351458823}
Update 96: {'0': -6.494332546456793, '1': -9.00272493735571, '2': -10.909662647165483}
Update 97: {'0': -6.501810270335186, '1': -9.010202661234104, '2': -10.917140371043876}
Update 98: {'0': -6.508988885258444, '1': -9.017381276157362, '2': -10.924318985967133}
Update 99: {'0': -6.5158803555847715, '1': -9.024272746483689, '2': -10.931210456293462}
Update 100: {'0': -6.522496167098044, '1': -9.030888557996963, '2': -10.937826267806734}
Update 101: {'0': -6.528847346150789, '1': -9.037239737049706, '2': -10.944177446859479}
Update 102: {'0': -6.534944478041422, '1': -9.04333686894034, '2': -10.950274578750111}
Update 103: {'0': -6.54079772465643, '1': -9.049190115555348, '2': -10.95612782536512}
Update 104: {'0': -6.546416841406838, '1': -9.054809232305757, '2': -10.961746942115528}
Update 105: {'0': -6.5518111934872305, '1': -9.060203584386148, '2': -10.96714129419592}
Update 106: {'0': -6.556989771484405, '1': -9.065382162383322, '2': -10.972319872193097}
Update 107: {'0': -6.561961206361692, '1': -9.070353597260612, '2': -10.977291307070384}
Update 108: {'0': -6.56673378384389, '1': -9.07512617474281, '2': -10.98206388455258}
Update 109: {'0': -6.571315458226801, '1': -9.079707849125718, '2': -10.986645558935491}
Update 110: {'0': -6.575713865634393, '1': -9.08410625653331, '2': -10.991043966343085}
Update 111: {'0': -6.579936336745682, '1': -9.088328727644601, '2': -10.995266437454374}
Update 112: {'0': -6.583989909012521, '1': -9.092382299911439, '2': -10.999320009721213}
Update 113: {'0': -6.587881338388685, '1': -9.096273729287603, '2': -11.003211439097377}
Update 114: {'0': -6.591617110589802, '1': -9.10000950148872, '2': -11.006947211298494}
Update 115: {'0': -6.595203451902876, '1': -9.103595842801795, '2': -11.010533552611566}
Update 116: {'0': -6.598646339563427, '1': -9.107038730462346, '2': -11.013976440272117}
Update 117: {'0': -6.601951511717555, '1': -9.110343902616473, '2': -11.017281612426245}
Update 118: {'0': -6.605124476985518, '1': -9.113516867884435, '2': -11.020454577694208}
Update 119: {'0': -6.608170523642761, '1': -9.11656291454168, '2': -11.023500624351453}
Update 120: {'0': -6.6110947284337165, '1': -9.119487119332634, '2': -11.026424829142407}
Update 121: {'0': -6.6139019650330315, '1': -9.12229435593195, '2': -11.029232065741724}
Update 122: {'0': -6.616596912168376, '1': -9.124989303067295, '2': -11.031927012877066}
Update 123: {'0': -6.6191840614183075, '1': -9.127576452317225, '2': -11.034514162126996}
Update 124: {'0': -6.62166772469824, '1': -9.130060115597157, '2': -11.03699782540693}
Update 125: {'0': -6.624052041446975, '1': -9.132444432345892, '2': -11.039382142155667}
Update 126: {'0': -6.62634098552576, '1': -9.134733376424679, '2': -11.041671086234452}
Update 127: {'0': -6.628538371841396, '1': -9.136930762740313, '2': -11.043868472550086}
Update 128: {'0': -6.630647862704404, '1': -9.139040253603323, '2': -11.045977963413094}
Update 129: {'0': -6.632672973932893, '1': -9.14106536483181, '2': -11.048003074641583}
Update 130: {'0': -6.634617080712241, '1': -9.143009471611158, '2': -11.049947181420933}
